feature,phishing_score,log_prob_phishing,log_prob_normal
has_short_url,2.568412595184162,9.646733355504857,7.078320760320695
대출,2.288110630030004,9.829054912298812,7.540944282268808
 장,2.1252071590931507,9.646733355504857,7.521526196411706
 당첨,2.1174851129992405,9.829054912298812,7.711569799299571
엄마,2.1174851129992405,9.829054912298812,7.711569799299571
당첨,2.1174851129992405,9.829054912298812,7.711569799299571
 엄마,2.1174851129992405,9.829054912298812,7.711569799299571
모님,2.0698570640099856,9.829054912298812,7.759197848288826
장모,2.0698570640099856,9.829054912298812,7.759197848288826
장모님,2.0698570640099856,9.829054912298812,7.759197848288826
 장모,2.0698570640099856,9.829054912298812,7.759197848288826
 장모님,2.0698570640099856,9.829054912298812,7.759197848288826
 이체,2.0451644514196143,9.829054912298812,7.7838904608791974
좌번호,1.9938711570320633,9.829054912298812,7.8351837552667485
엄마 ,1.9938711570320633,9.829054912298812,7.8351837552667485
 엄마 ,1.9938711570320633,9.829054912298812,7.8351837552667485
좌번,1.9938711570320633,9.829054912298812,7.8351837552667485
계좌번,1.9938711570320633,9.829054912298812,7.8351837552667485
계좌번호,1.9938711570320633,9.829054912298812,7.8351837552667485
수령,1.9806259302820433,9.135907731738866,7.155281801456823
(계좌번,1.9672029099499024,9.829054912298812,7.861852002348909
(계좌,1.9672029099499024,9.829054912298812,7.861852002348909
(계,1.9672029099499024,9.829054912298812,7.861852002348909
좌번호),1.9672029099499024,9.829054912298812,7.861852002348909
번호),1.9672029099499024,9.829054912298812,7.861852002348909
호) ,1.9672029099499024,9.829054912298812,7.861852002348909
 (계좌,1.9672029099499024,9.829054912298812,7.861852002348909
호),1.9672029099499024,9.829054912298812,7.861852002348909
번호) ,1.9672029099499024,9.829054912298812,7.861852002348909
 (계,1.9672029099499024,9.829054912298812,7.861852002348909
 수령,1.9116330587950916,9.241268247396693,7.329635188601602
생계,1.8826455219218392,9.829054912298812,7.946409390376973
지원 ,1.8826455219218392,9.829054912298812,7.946409390376973
모님 ,1.8220209001054037,9.829054912298812,8.007034012193408
긴급,1.8220209001054037,9.829054912298812,8.007034012193408
장모님 ,1.8220209001054037,9.829054912298812,8.007034012193408
한데 ,1.8115496002381084,9.646733355504857,7.8351837552667485
한데,1.8115496002381084,9.646733355504857,7.8351837552667485
 청첩장,1.790272201790824,9.829054912298812,8.038782710507988
청첩장,1.790272201790824,9.829054912298812,8.038782710507988
청첩,1.790272201790824,9.829054912298812,8.038782710507988
 청첩,1.790272201790824,9.829054912298812,8.038782710507988
 청,1.790272201790824,9.829054912298812,8.038782710507988
첩장,1.790272201790824,9.829054912298812,8.038782710507988
... ,1.7740116809190436,9.135907731738866,7.361896050819823
마 ,1.7574823789678344,9.4925826756776,7.735100296709765
내주,1.7574823789678327,9.829054912298812,8.07157253333098
보내주,1.7574823789678327,9.829054912298812,8.07157253333098
 죄송,1.7574823789678327,9.646733355504857,7.889250976537024
죄송,1.7574823789678327,9.646733355504857,7.889250976537024
담 ,1.7574823789678327,9.829054912298812,8.07157253333098
 죄,1.7574823789678327,9.646733355504857,7.889250976537024
 보내주,1.7235808272921513,9.829054912298812,8.10547408500666
 보내,1.718261665814552,8.873543467271375,7.155281801456823
인정,1.688489507480881,9.829054912298812,8.14056540481793
주시면,1.688489507480881,9.829054912298812,8.14056540481793
 조,1.6833744068141128,9.4925826756776,7.809208268863487
.. ,1.6787015011147197,9.040597551934543,7.361896050819823
축하,1.6704710019782034,9.646733355504857,7.9762623535266535
 축하,1.6704710019782034,9.646733355504857,7.9762623535266535
 드립,1.6704710019782034,9.646733355504857,7.9762623535266535
 드립니,1.6704710019782034,9.646733355504857,7.9762623535266535
 드,1.6704710019782034,8.953586174944911,7.283115172966708
안정,1.6704710019782034,9.646733355504857,7.9762623535266535
요...,1.6521218633100077,9.829054912298812,8.176933048988804
요..,1.6521218633100077,9.829054912298812,8.176933048988804
 죄송한,1.6521218633100077,9.829054912298812,8.176933048988804
죄송한,1.6521218633100077,9.829054912298812,8.176933048988804
인정보,1.6521218633100077,9.829054912298812,8.176933048988804
죄송한데,1.6521218633100077,9.829054912298812,8.176933048988804
송한,1.6521218633100077,9.829054912298812,8.176933048988804
송한데 ,1.6521218633100077,9.829054912298812,8.176933048988804
송한데,1.6521218633100077,9.829054912298812,8.176933048988804
저 ,1.6521218633100077,9.829054912298812,8.176933048988804
수령 ,1.6474814837535057,9.359051283053077,7.711569799299571
령 ,1.6474814837535057,9.359051283053077,7.711569799299571
 엄,1.6474814837535057,9.359051283053077,7.711569799299571
계 ,1.6396993433114488,9.646733355504857,8.007034012193408
안되,1.6396993433114488,9.646733355504857,8.007034012193408
 지급,1.6307306733286904,9.4925826756776,7.861852002348909
지급,1.6307306733286904,9.4925826756776,7.861852002348909
 생계,1.6143815353271602,9.829054912298812,8.214673376971652
 결혼,1.6143815353271602,9.829054912298812,8.214673376971652
드릴,1.6143815353271602,9.829054912298812,8.214673376971652
 반송,1.6143815353271602,9.829054912298812,8.214673376971652
인정보 ,1.6143815353271602,9.829054912298812,8.214673376971652
반송,1.6143815353271602,9.829054912298812,8.214673376971652
 개인정,1.6143815353271602,9.829054912298812,8.214673376971652
결혼,1.6143815353271602,9.829054912298812,8.214673376971652
개인정,1.6143815353271602,9.829054912298812,8.214673376971652
개인정보,1.6143815353271602,9.829054912298812,8.214673376971652
드릴게요,1.5751608221738795,9.829054912298812,8.253894090124932
 제가,1.5751608221738795,9.829054912298812,8.253894090124932
드릴게,1.5751608221738795,9.829054912298812,8.253894090124932
릴게,1.5751608221738795,9.829054912298812,8.253894090124932
릴게요,1.5751608221738795,9.829054912298812,8.253894090124932
 제가 ,1.5751608221738795,9.829054912298812,8.253894090124932
게요,1.5751608221738795,9.829054912298812,8.253894090124932
 [국,1.5751608221738795,9.4925826756776,7.91742185350372
생계비,1.5751608221738795,9.829054912298812,8.253894090124932
[국,1.5751608221738795,9.4925826756776,7.91742185350372
비대,1.5751608221738795,9.829054912298812,8.253894090124932
계비,1.5751608221738795,9.829054912298812,8.253894090124932
 지원 ,1.5751608221738795,9.829054912298812,8.253894090124932
롭게 ,1.5751608221738778,9.646733355504857,8.07157253333098
 안되,1.5751608221738778,9.646733355504857,8.07157253333098
롭게,1.5751608221738778,9.646733355504857,8.07157253333098
..,1.5498430141895883,8.260438994384966,6.710595980195378
내주시,1.5343388276536238,9.829054912298812,8.294716084645188
내주시면,1.5343388276536238,9.829054912298812,8.294716084645188
세계 ,1.5343388276536238,9.829054912298812,8.294716084645188
세계,1.5343388276536238,9.829054912298812,8.294716084645188
보내주시,1.5343388276536238,9.829054912298812,8.294716084645188
 원이,1.5343388276536238,9.829054912298812,8.294716084645188
 축,1.5163203221509463,9.4925826756776,7.9762623535266535
드려,1.5163203221509463,9.4925826756776,7.9762623535266535
...,1.5116474164515523,8.873543467271375,7.361896050819823
 있는데,1.506167950686926,9.646733355504857,8.14056540481793
데 ,1.5025901293390431,8.442760551178921,6.940170421839878
수령: ,1.4917792132348282,9.829054912298812,8.337275699063984
보증,1.4917792132348282,9.829054912298812,8.337275699063984
 취,1.4917792132348282,9.829054912298812,8.337275699063984
 수령:,1.4917792132348282,9.829054912298812,8.337275699063984
령:,1.4917792132348282,9.829054912298812,8.337275699063984
보내드,1.4917792132348282,9.829054912298812,8.337275699063984
수령:,1.4917792132348282,9.829054912298812,8.337275699063984
령: ,1.4917792132348282,9.829054912298812,8.337275699063984
 명,1.4917792132348282,9.829054912298812,8.337275699063984
 보내드,1.4917792132348282,9.829054912298812,8.337275699063984
진짜,1.4698003065160528,9.646733355504857,8.176933048988804
지원,1.4698003065160528,8.799435495117654,7.329635188601602
진짜 ,1.4698003065160528,9.646733355504857,8.176933048988804
 진짜,1.4698003065160528,9.646733355504857,8.176933048988804
 진짜 ,1.4698003065160528,9.646733355504857,8.176933048988804
필요,1.4537999651696119,9.4925826756776,8.038782710507988
 채팅방,1.4473274506639946,9.829054912298812,8.381727461634817
계층,1.4473274506639946,9.829054912298812,8.381727461634817
채팅방에,1.4473274506639946,9.829054912298812,8.381727461634817
 채팅,1.4473274506639946,9.829054912298812,8.381727461634817
채팅,1.4473274506639946,9.829054912298812,8.381727461634817
되는데 ,1.4473274506639946,9.829054912298812,8.381727461634817
되는데,1.4473274506639946,9.829054912298812,8.381727461634817
채팅방,1.4473274506639946,9.829054912298812,8.381727461634817
계층 ,1.4473274506639946,9.829054912298812,8.381727461634817
팅방에 ,1.4473274506639946,9.829054912298812,8.381727461634817
팅방,1.4473274506639946,9.829054912298812,8.381727461634817
팅방에,1.4473274506639946,9.829054912298812,8.381727461634817
신청 ,1.4416294295493568,9.359051283053077,7.91742185350372
알려,1.4320599785332053,9.646733355504857,8.214673376971652
제가,1.4320599785332053,9.646733355504857,8.214673376971652
제가 ,1.4320599785332053,9.646733355504857,8.214673376971652
보내,1.4060844921299447,8.548121066836748,7.142036574706803
악음반,1.400807435029101,9.829054912298812,8.42824747726971
정부 ,1.400807435029101,9.829054912298812,8.42824747726971
경품,1.400807435029101,9.829054912298812,8.42824747726971
악음,1.400807435029101,9.829054912298812,8.42824747726971
 경품,1.400807435029101,9.829054912298812,8.42824747726971
시간을,1.400807435029101,9.829054912298812,8.42824747726971
시간을 ,1.400807435029101,9.829054912298812,8.42824747726971
만기,1.400807435029101,9.829054912298812,8.42824747726971
음악음반,1.400807435029101,9.829054912298812,8.42824747726971
약계층 ,1.400807435029101,9.829054912298812,8.42824747726971
안정 ,1.400807435029101,9.829054912298812,8.42824747726971
 음악음,1.400807435029101,9.829054912298812,8.42824747726971
음악음,1.400807435029101,9.829054912298812,8.42824747726971
취약계,1.400807435029101,9.829054912298812,8.42824747726971
 알,1.400807435029101,9.135907731738866,7.735100296709765
약계,1.400807435029101,9.829054912298812,8.42824747726971
음반,1.400807435029101,9.829054912298812,8.42824747726971
셨습니다,1.400807435029101,9.829054912298812,8.42824747726971
간을,1.400807435029101,9.829054912298812,8.42824747726971
취약계층,1.400807435029101,9.829054912298812,8.42824747726971
간을 ,1.400807435029101,9.829054912298812,8.42824747726971
약계층,1.400807435029101,9.829054912298812,8.42824747726971
ㅠ ,1.400807435029101,9.829054912298812,8.42824747726971
취약,1.400807435029101,9.829054912298812,8.42824747726971
 세계 ,1.400807435029101,9.829054912298812,8.42824747726971
셨습니,1.400807435029101,9.829054912298812,8.42824747726971
트의 ,1.400807435029101,9.829054912298812,8.42824747726971
셨습,1.400807435029101,9.829054912298812,8.42824747726971
 급,1.400807435029101,9.829054912298812,8.42824747726971
트의,1.400807435029101,9.829054912298812,8.42824747726971
 세계,1.400807435029101,9.829054912298812,8.42824747726971
 알려,1.3928392653799246,9.646733355504857,8.253894090124932
소득,1.3928392653799246,9.646733355504857,8.253894090124932
어서,1.3827889295264235,9.359051283053077,7.9762623535266535
계좌,1.3710654658303634,8.873543467271375,7.502478001441012
 저,1.3520172708596698,9.040597551934543,7.688580281074873
대출 ,1.352017270859669,9.829054912298812,8.477037641439143
 축하해,1.352017270859669,9.829054912298812,8.477037641439143
부탁 ,1.352017270859669,9.829054912298812,8.477037641439143
탁 ,1.352017270859669,9.829054912298812,8.477037641439143
 전 ,1.352017270859669,9.829054912298812,8.477037641439143
하해 ,1.352017270859669,9.829054912298812,8.477037641439143
하해,1.352017270859669,9.829054912298812,8.477037641439143
 부탁 ,1.352017270859669,9.829054912298812,8.477037641439143
결혼을 ,1.352017270859669,9.829054912298812,8.477037641439143
결혼을,1.352017270859669,9.829054912298812,8.477037641439143
 결혼을,1.352017270859669,9.829054912298812,8.477037641439143
대상,1.352017270859669,9.646733355504857,8.294716084645188
신청:,1.352017270859669,9.829054912298812,8.477037641439143
신청: ,1.352017270859669,9.829054912298812,8.477037641439143
혼을,1.352017270859669,9.829054912298812,8.477037641439143
축하해,1.352017270859669,9.829054912298812,8.477037641439143
혼을 ,1.352017270859669,9.829054912298812,8.477037641439143
축하해 ,1.352017270859669,9.829054912298812,8.477037641439143
출 ,1.352017270859669,9.646733355504857,8.294716084645188
 신청:,1.352017270859669,9.829054912298812,8.477037641439143
청: ,1.352017270859669,9.829054912298812,8.477037641439143
청:,1.352017270859669,9.829054912298812,8.477037641439143
 폰,1.352017270859669,9.829054912298812,8.477037641439143
 수령 ,1.3202685725450891,9.359051283053077,8.038782710507988
 즉,1.3156496266887956,9.4925826756776,8.176933048988804
 즉시,1.3156496266887956,9.4925826756776,8.176933048988804
즉시,1.3156496266887956,9.4925826756776,8.176933048988804
즉시 ,1.3156496266887956,9.4925826756776,8.176933048988804
짜 ,1.3156496266887956,9.4925826756776,8.176933048988804
 즉시 ,1.3156496266887956,9.4925826756776,8.176933048988804
알림,1.3094576564408733,9.646733355504857,8.337275699063984
완료 ,1.3094576564408733,9.646733355504857,8.337275699063984
두 ,1.3094576564408733,9.646733355504857,8.337275699063984
70,1.3094576564408733,9.646733355504857,8.337275699063984
보내줄,1.3007239764721188,9.829054912298812,8.528330935826693
내줄,1.3007239764721188,9.829054912298812,8.528330935826693
이게 ,1.3007239764721188,9.829054912298812,8.528330935826693
정. ,1.3007239764721188,9.829054912298812,8.528330935826693
이게,1.3007239764721188,9.829054912298812,8.528330935826693
 보내줄,1.3007239764721188,9.829054912298812,8.528330935826693
주시면 ,1.3007239764721188,9.829054912298812,8.528330935826693
정.,1.3007239764721188,9.829054912298812,8.528330935826693
없어서,1.3007239764721188,9.829054912298812,8.528330935826693
첨 ,1.3007239764721188,9.829054912298812,8.528330935826693
3.,1.3007239764721188,9.829054912298812,8.528330935826693
 없어서,1.3007239764721188,9.829054912298812,8.528330935826693
환 ,1.3007239764721188,9.829054912298812,8.528330935826693
없어,1.3007239764721188,9.829054912298812,8.528330935826693
 없어,1.3007239764721188,9.829054912298812,8.528330935826693
 될,1.3007239764721188,9.829054912298812,8.528330935826693
되는,1.300723976472118,9.135907731738866,7.8351837552667485
통해 ,1.2874787497220979,9.359051283053077,8.07157253333098
님 ,1.2874787497220979,8.442760551178921,7.155281801456823
 통해 ,1.2874787497220979,9.359051283053077,8.07157253333098
 지원,1.2813997036457163,9.040597551934543,7.759197848288826
 필요,1.2779092987059482,9.4925826756776,8.214673376971652
지금,1.2697791726226964,8.494053845566471,7.224274672943775
 지금,1.2697791726226964,8.494053845566471,7.224274672943775
 준비,1.2650058938700397,9.646733355504857,8.381727461634817
준비,1.2650058938700397,9.646733355504857,8.381727461634817
지금 ,1.2553904351705967,8.494053845566471,7.2386634103958745
 지금 ,1.2553904351705967,8.494053845566471,7.2386634103958745
 신청 ,1.2535771980464165,9.359051283053077,8.10547408500666
 알려주,1.2466567552018422,9.829054912298812,8.58239815709697
부고,1.2466567552018422,9.829054912298812,8.58239815709697
상환 ,1.2466567552018422,9.829054912298812,8.58239815709697
 부담,1.2466567552018422,9.829054912298812,8.58239815709697
 이체 ,1.2466567552018422,9.829054912298812,8.58239815709697
알려주,1.2466567552018422,9.829054912298812,8.58239815709697
관:,1.2466567552018422,9.829054912298812,8.58239815709697
관: ,1.2466567552018422,9.829054912298812,8.58239815709697
 안되는,1.2466567552018422,9.829054912298812,8.58239815709697
미수,1.2466567552018422,9.829054912298812,8.58239815709697
 미수,1.2466567552018422,9.829054912298812,8.58239815709697
안되는,1.2466567552018422,9.829054912298812,8.58239815709697
 드리,1.2466567552018422,9.829054912298812,8.58239815709697
기관:,1.2466567552018422,9.829054912298812,8.58239815709697
 입력 ,1.2466567552018422,9.829054912298812,8.58239815709697
 은행,1.2466567552018422,9.829054912298812,8.58239815709697
이름,1.2466567552018422,9.829054912298812,8.58239815709697
려주,1.2466567552018422,9.829054912298812,8.58239815709697
기관: ,1.2466567552018422,9.829054912298812,8.58239815709697
되셨,1.2466567552018422,9.829054912298812,8.58239815709697
될까,1.2466567552018422,9.829054912298812,8.58239815709697
안되는데,1.2466567552018422,9.829054912298812,8.58239815709697
 와,1.2466567552018422,9.829054912298812,8.58239815709697
국제발,1.2386885855526675,9.4925826756776,8.253894090124932
제발신,1.2386885855526675,9.4925826756776,8.253894090124932
[국제발,1.2386885855526675,9.4925826756776,8.253894090124932
[국제,1.2386885855526675,9.4925826756776,8.253894090124932
국제발신,1.2386885855526675,9.4925826756776,8.253894090124932
제발,1.2386885855526675,9.4925826756776,8.253894090124932
제발신],1.2386885855526675,9.4925826756776,8.253894090124932
 [국제,1.2386885855526675,9.4925826756776,8.253894090124932
좀 ,1.2342342352032851,9.241268247396693,8.007034012193408
 있어요,1.2184858782351462,9.646733355504857,8.42824747726971
 음악,1.2184858782351462,9.646733355504857,8.42824747726971
있어요,1.2184858782351462,9.646733355504857,8.42824747726971
원이,1.2184858782351462,9.359051283053077,8.14056540481793
신청,1.2065096871884302,8.260438994384966,7.053929307196536
has_url,1.2031716432621042,7.588345223022854,6.38517357976075
 좀,1.2024855368887053,9.241268247396693,8.038782710507988
 좀 ,1.2024855368887053,9.241268247396693,8.038782710507988
 주세,1.1978665910324118,9.4925826756776,8.294716084645188
 주세요,1.1978665910324118,9.4925826756776,8.294716084645188
물품,1.1894983413618938,9.829054912298812,8.639556570936918
니다.),1.1894983413618938,9.829054912298812,8.639556570936918
별세,1.1894983413618938,9.829054912298812,8.639556570936918
니?,1.1894983413618938,9.829054912298812,8.639556570936918
 살 ,1.1894983413618938,9.829054912298812,8.639556570936918
크하고,1.1894983413618938,9.829054912298812,8.639556570936918
니? ,1.1894983413618938,9.829054912298812,8.639556570936918
소독,1.1894983413618938,9.829054912298812,8.639556570936918
소독제,1.1894983413618938,9.829054912298812,8.639556570936918
소독제를,1.1894983413618938,9.829054912298812,8.639556570936918
소득·,1.1894983413618938,9.829054912298812,8.639556570936918
크하고 ,1.1894983413618938,9.829054912298812,8.639556570936918
"가, ",1.1894983413618938,9.829054912298812,8.639556570936918
"가,",1.1894983413618938,9.829054912298812,8.639556570936918
 형,1.1894983413618938,9.829054912298812,8.639556570936918
 생계비,1.1894983413618938,9.829054912298812,8.639556570936918
손소독,1.1894983413618938,9.829054912298812,8.639556570936918
제를 ,1.1894983413618938,9.829054912298812,8.639556570936918
손소,1.1894983413618938,9.829054912298812,8.639556570936918
 대량,1.1894983413618938,9.829054912298812,8.639556570936918
알려주는,1.1894983413618938,9.829054912298812,8.639556570936918
 있니,1.1894983413618938,9.829054912298812,8.639556570936918
조기,1.1894983413618938,9.829054912298812,8.639556570936918
조건 ,1.1894983413618938,9.829054912298812,8.639556570936918
 계좌로,1.1894983413618938,9.829054912298812,8.639556570936918
조건,1.1894983413618938,9.829054912298812,8.639556570936918
마스크하,1.1894983413618938,9.829054912298812,8.639556570936918
 00아,1.1894983413618938,9.829054912298812,8.639556570936918
마스크,1.1894983413618938,9.829054912298812,8.639556570936918
마스,1.1894983413618938,9.829054912298812,8.639556570936918
 있니?,1.1894983413618938,9.829054912298812,8.639556570936918
·취,1.1894983413618938,9.829054912298812,8.639556570936918
·취약,1.1894983413618938,9.829054912298812,8.639556570936918
.) ,1.1894983413618938,9.829054912298812,8.639556570936918
영업일 ,1.1894983413618938,9.829054912298812,8.639556570936918
 설 ,1.1894983413618938,9.829054912298812,8.639556570936918
영업일,1.1894983413618938,9.829054912298812,8.639556570936918
소득·취,1.1894983413618938,9.829054912298812,8.639556570936918
 돈이 ,1.1894983413618938,9.829054912298812,8.639556570936918
 돈이,1.1894983413618938,9.829054912298812,8.639556570936918
제를,1.1894983413618938,9.829054912298812,8.639556570936918
 돈,1.1894983413618938,9.829054912298812,8.639556570936918
0아,1.1894983413618938,9.829054912298812,8.639556570936918
 대량으,1.1894983413618938,9.829054912298812,8.639556570936918
0아~,1.1894983413618938,9.829054912298812,8.639556570936918
0아~ ,1.1894983413618938,9.829054912298812,8.639556570936918
크하,1.1894983413618938,9.829054912298812,8.639556570936918
미수령,1.1894983413618938,9.829054912298812,8.639556570936918
미수령 ,1.1894983413618938,9.829054912298812,8.639556570936918
손소독제,1.1894983413618938,9.829054912298812,8.639556570936918
·취약계,1.1894983413618938,9.829054912298812,8.639556570936918
긴급 ,1.1894983413618938,9.829054912298812,8.639556570936918
있니? ,1.1894983413618938,9.829054912298812,8.639556570936918
