model_name,score_type,threshold,precision,recall,f1,f2,false_positive,false_negative,true_positive,true_negative,average_inference_ms,p95_inference_ms
naive_bayes_structural,probability,0.05692328389331719,0.5447154471544715,1.0,0.7052631578947368,0.8567774936061381,56,0,67,0,4.002750000000001,5.41409
logistic_regression_morph_tfidf,probability,0.36906453927566446,0.7386363636363636,0.9701492537313433,0.8387096774193549,0.9129213483146067,23,2,65,33,4.917706000000001,18.89889
linear_svm_char_tfidf,decision,-0.3223016234331708,0.7471264367816092,0.9701492537313433,0.8441558441558441,0.9154929577464789,22,2,65,34,1.5964239999999998,2.529049999999999
